locationId,providerId,name,registrationStatus,registrationDate,postalAddressLine1,postalAddressTownCity,postalAddressCounty,region,postalCode,mainPhoneNumber,localAuthority,numberOfBeds,currentRatings.overall.rating,currentRatings.overall.reportDate,regulatedActivities,gacServiceTypes
1-10246862368,1-10206679255,Spencer House,Registered,2021-05-05,Spencer Road,Birchington,Kent,South East,CT7 9EZ,01843841460,Kent,25.0,Requires improvement,2022-08-18,"[{'name': 'Accommodation for persons who require nursing or personal care', 'code': 'RA2', 'contacts': [{'personTitle': 'Miss', 'personGivenName': 'Anusha Santhosh', 'personFamilyName': 'Punnackal', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Residential homes', 'description': 'Care home service without nursing'}]"
1-10272195847,1-9965289420,Minter et Al,Registered,2021-01-26,42 High Street,Canterbury,,South East,CT4 5JZ,07917654000,Kent,0.0,Not rated,,"[{'name': 'Treatment of disease, disorder or injury', 'code': 'RA5', 'contacts': [{'personTitle': 'Ms', 'personGivenName': 'Alexandra Louise', 'personFamilyName': 'Minter', 'personRoles': ['Registered Manager']}]}, {'name': 'Diagnostic and screening procedures', 'code': 'RA8', 'contacts': [{'personTitle': 'Ms', 'personGivenName': 'Alexandra Louise', 'personFamilyName': 'Minter', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Doctors/Gps', 'description': 'Doctors treatment service'}, {'name': 'Mobile doctors', 'description': 'Mobile doctors service'}]"
1-10278105858,1-4973107291,Rochester Road Surgery,Registered,2021-05-28,115 Rochester Road,Gravesend,Kent,South East,DA12 2HU,01474560346,Kent,0.0,Not rated,,"[{'name': 'Maternity and midwifery services', 'code': 'RA11', 'contacts': []}, {'name': 'Treatment of disease, disorder or injury', 'code': 'RA5', 'contacts': []}, {'name': 'Diagnostic and screening procedures', 'code': 'RA8', 'contacts': []}]","[{'name': 'Doctors/Gps', 'description': 'Doctors treatment service'}]"
1-10336570859,1-9718215831,Devoted Homecare,Registered,2021-02-17,"7 Metford, Evegate Business Park",Ashford,,South East,TN25 6SX,01797360788,Kent,0.0,Good,2022-07-08,"[{'name': 'Personal care', 'code': 'RA1', 'contacts': [{'personTitle': 'Miss', 'personGivenName': 'Sophie Michelle', 'personFamilyName': 'Shepherd', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Homecare agencies', 'description': 'Domiciliary care service'}]"
1-10358534559,1-616808361,Orchard Cottage,Registered,2021-02-11,Keycol Hill,Sittingbourne,,South East,ME9 8NE,,Kent,3.0,Good,2023-07-04,"[{'name': 'Accommodation for persons who require nursing or personal care', 'code': 'RA2', 'contacts': [{'personTitle': 'Miss', 'personGivenName': 'Lucy Caroline', 'personFamilyName': 'Loft', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Residential homes', 'description': 'Care home service without nursing'}]"
1-10359709380,1-152981673,EasySmile Ashford,Registered,2021-11-09,Bramley House,Ashford,,South East,TN26 2EG,,Kent,0.0,Not rated,,"[{'name': 'Treatment of disease, disorder or injury', 'code': 'RA5', 'contacts': [{'personTitle': 'Mrs', 'personGivenName': 'Jacqueline Angela', 'personFamilyName': 'Long', 'personRoles': ['Registered Manager']}]}, {'name': 'Surgical procedures', 'code': 'RA7', 'contacts': [{'personTitle': 'Mrs', 'personGivenName': 'Jacqueline Angela', 'personFamilyName': 'Long', 'personRoles': ['Registered Manager']}]}, {'name': 'Diagnostic and screening procedures', 'code': 'RA8', 'contacts': [{'personTitle': 'Mrs', 'personGivenName': 'Jacqueline Angela', 'personFamilyName': 'Long', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Dentist', 'description': 'Dental service'}]"
1-10409575620,1-7187418734,Glorycrown Healthcare Ltd,Registered,2021-02-26,"S07 Second Floor, Knightrider House",Maidstone,,South East,ME15 6LU,01622804574,Kent,0.0,Good,2022-12-22,"[{'name': 'Personal care', 'code': 'RA1', 'contacts': [{'personTitle': 'Ms', 'personGivenName': 'Sibongile', 'personFamilyName': 'Mabena', 'personRoles': ['Registered Manager']}]}, {'name': 'Treatment of disease, disorder or injury', 'code': 'RA5', 'contacts': [{'personTitle': 'Ms', 'personGivenName': 'Sibongile', 'personFamilyName': 'Mabena', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Homecare agencies', 'description': 'Domiciliary care service'}, {'name': 'Supported living', 'description': 'Supported living service'}]"
1-10451250383,1-10494570830,Faversham Smiles,Registered,2021-03-16,60-62,Faversham,,South East,ME13 8PG,01795515601,Kent,0.0,Inspected but not rated,2022-12-20,"[{'name': 'Treatment of disease, disorder or injury', 'code': 'RA5', 'contacts': [{'personTitle': 'Dr', 'personGivenName': 'Shabat', 'personFamilyName': 'Momin', 'personRoles': ['Registered Manager']}]}, {'name': 'Surgical procedures', 'code': 'RA7', 'contacts': [{'personTitle': 'Dr', 'personGivenName': 'Shabat', 'personFamilyName': 'Momin', 'personRoles': ['Registered Manager']}]}, {'name': 'Diagnostic and screening procedures', 'code': 'RA8', 'contacts': [{'personTitle': 'Dr', 'personGivenName': 'Shabat', 'personFamilyName': 'Momin', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Dentist', 'description': 'Dental service'}]"
1-104968428,1-101625791,Marbleside Care,Registered,2010-11-29,23-27 Eaton Road,Margate,Kent,South East,CT9 1XB,01843292616,Kent,25.0,Good,2020-11-07,"[{'name': 'Personal care', 'code': 'RA1', 'contacts': [{'personTitle': 'Miss', 'personGivenName': 'Emily Audrey Dorcas', 'personFamilyName': 'Marambakuyana', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Homecare agencies', 'description': 'Domiciliary care service'}]"
1-1051526530,1-460901615,Pearl Dental Care Sevenoaks,Registered,2014-01-14,6 Argyle Road,Sevenoaks,Kent,South East,TN13 1HJ,01732453214,Kent,0.0,Inspected but not rated,2017-12-04,"[{'name': 'Treatment of disease, disorder or injury', 'code': 'RA5', 'contacts': []}, {'name': 'Surgical procedures', 'code': 'RA7', 'contacts': []}, {'name': 'Diagnostic and screening procedures', 'code': 'RA8', 'contacts': []}]","[{'name': 'Dentist', 'description': 'Dental service'}]"
1-105176629,1-101618482,Felbrigg House,Registered,2011-01-21,St Alphege Road,Dover,Kent,South East,CT16 2PU,01304204760,Kent,11.0,Good,2023-03-16,"[{'name': 'Accommodation for persons who require nursing or personal care', 'code': 'RA2', 'contacts': [{'personTitle': 'Ms', 'personGivenName': 'Kim', 'personFamilyName': 'Dew', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Residential homes', 'description': 'Care home service without nursing'}]"
1-10523435649,1-6240137997,Greenacres Dental Practice,Registered,2021-06-15,67 The Avenue,Aylesford,Kent,South East,ME20 7LQ,07977262370,Kent,0.0,No published rating,,"[{'name': 'Treatment of disease, disorder or injury', 'code': 'RA5', 'contacts': []}, {'name': 'Surgical procedures', 'code': 'RA7', 'contacts': []}, {'name': 'Diagnostic and screening procedures', 'code': 'RA8', 'contacts': []}]","[{'name': 'Dentist', 'description': 'Dental service'}]"
1-10524931227,1-152953749,Bupa Dental Care Canterbury,Registered,2021-03-11,11 Upper Bridge Street,Canterbury,Kent,South East,CT1 2NA,,Kent,0.0,Not rated,,"[{'name': 'Treatment of disease, disorder or injury', 'code': 'RA5', 'contacts': [{'personTitle': 'Miss', 'personGivenName': 'Kerri Elizabeth', 'personFamilyName': 'Wilson-Hamilton', 'personRoles': ['Registered Manager']}]}, {'name': 'Surgical procedures', 'code': 'RA7', 'contacts': [{'personTitle': 'Miss', 'personGivenName': 'Kerri Elizabeth', 'personFamilyName': 'Wilson-Hamilton', 'personRoles': ['Registered Manager']}]}, {'name': 'Diagnostic and screening procedures', 'code': 'RA8', 'contacts': [{'personTitle': 'Miss', 'personGivenName': 'Kerri Elizabeth', 'personFamilyName': 'Wilson-Hamilton', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Dentist', 'description': 'Dental service'}]"
1-10535587136,1-8660052839,Henderson Health Care,Registered,2021-03-15,"Suite 104F, 26 Kings Hill Avenue",West Malling,,South East,ME19 4AE,07871151673,Kent,0.0,Not rated,,"[{'name': 'Personal care', 'code': 'RA1', 'contacts': [{'personTitle': 'Dr', 'personGivenName': 'Norman', 'personFamilyName': 'Kufakwaro', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Homecare agencies', 'description': 'Domiciliary care service'}]"
1-1054132568,1-979719472,Figtree Care Services Ltd,Registered,2015-04-08,"Suite 15, The Base",Dartford,Kent,South East,DA1 5FS,01322314878,Kent,0.0,Requires improvement,2020-01-18,"[{'name': 'Personal care', 'code': 'RA1', 'contacts': [{'personTitle': 'Mr', 'personGivenName': 'Munyaradzi Oliver', 'personFamilyName': 'Charuma', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Homecare agencies', 'description': 'Domiciliary care service'}]"
1-10556813199,1-9874878398,West Hill Care Home,Registered,2021-03-18,Constance Grove,Dartford,,South East,DA1 2GA,,Kent,77.0,Not rated,,"[{'name': 'Accommodation for persons who require nursing or personal care', 'code': 'RA2', 'contacts': [{'personTitle': 'Miss', 'personGivenName': 'Lauren Justine', 'personFamilyName': 'Griffin', 'personRoles': ['Registered Manager']}]}, {'name': 'Treatment of disease, disorder or injury', 'code': 'RA5', 'contacts': [{'personTitle': 'Miss', 'personGivenName': 'Lauren Justine', 'personFamilyName': 'Griffin', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Nursing homes', 'description': 'Care home service with nursing'}]"
1-10565266257,1-1624297480,Cosmopolitan Medical Clinic,Registered,2021-03-29,80 King Street,Maidstone,,South East,ME14 1BH,01622296440,Kent,0.0,Inspected but not rated,2018-05-02,"[{'name': 'Treatment of disease, disorder or injury', 'code': 'RA5', 'contacts': [{'personTitle': 'Mrs', 'personGivenName': 'Joanna Claire', 'personFamilyName': 'Cox', 'personRoles': ['Registered Manager']}]}, {'name': 'Diagnostic and screening procedures', 'code': 'RA8', 'contacts': [{'personTitle': 'Mrs', 'personGivenName': 'Joanna Claire', 'personFamilyName': 'Cox', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Doctors/Gps', 'description': 'Doctors treatment service'}]"
1-10576884099,1-6240137997,Willows Dental Practice,Registered,2021-06-15,1 Premier Parade,Aylesford,Kent,South East,ME20 7LN,01622718607,Kent,0.0,No published rating,,"[{'name': 'Treatment of disease, disorder or injury', 'code': 'RA5', 'contacts': []}, {'name': 'Surgical procedures', 'code': 'RA7', 'contacts': []}, {'name': 'Diagnostic and screening procedures', 'code': 'RA8', 'contacts': []}]","[{'name': 'Dentist', 'description': 'Dental service'}]"
1-105844767,1-101614688,Bradstowe Lodge,Registered,2010-12-13,22 Victoria Parade,Broadstairs,Kent,South East,CT10 1QL,01843861962,Kent,27.0,Not rated,,"[{'name': 'Accommodation for persons who require nursing or personal care', 'code': 'RA2', 'contacts': [{'personTitle': 'Miss', 'personGivenName': 'Lucie Jane', 'personFamilyName': 'Wicks', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Residential homes', 'description': 'Care home service without nursing'}]"
1-10605526617,1-152953749,Bupa Dental Care Cranbrook,Registered,2021-04-15,31 Stone Street,Cranbrook,Kent,South East,TN17 3HF,01580715786,Kent,0.0,No published rating,,"[{'name': 'Treatment of disease, disorder or injury', 'code': 'RA5', 'contacts': [{'personTitle': 'Miss', 'personGivenName': 'Isabella', 'personFamilyName': 'Giles Perry', 'personRoles': ['Registered Manager']}]}, {'name': 'Surgical procedures', 'code': 'RA7', 'contacts': [{'personTitle': 'Miss', 'personGivenName': 'Isabella', 'personFamilyName': 'Giles Perry', 'personRoles': ['Registered Manager']}]}, {'name': 'Diagnostic and screening procedures', 'code': 'RA8', 'contacts': [{'personTitle': 'Miss', 'personGivenName': 'Isabella', 'personFamilyName': 'Giles Perry', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Dentist', 'description': 'Dental service'}]"
1-10631096735,1-9773563733,Simplex Healthcare Limited,Registered,2021-04-21,8 Premier Way,Sittingbourne,,South East,ME10 2GU,07956555212,Kent,0.0,Good,2022-10-27,"[{'name': 'Personal care', 'code': 'RA1', 'contacts': [{'personTitle': 'Mr', 'personGivenName': 'Victor Tererayi', 'personFamilyName': 'Damba', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Homecare agencies', 'description': 'Domiciliary care service'}]"
1-106348492,1-101615255,Blythson Limited - 5 Ashley Avenue,Registered,2010-11-18,5 Ashley Avenue,Folkestone,Kent,South East,CT19 4PX,01303252787,Kent,3.0,Good,2020-04-25,"[{'name': 'Accommodation for persons who require nursing or personal care', 'code': 'RA2', 'contacts': [{'personTitle': 'Mr', 'personGivenName': 'Cristian Zamid', 'personFamilyName': 'Ramirez Bolivar', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Residential homes', 'description': 'Care home service without nursing'}]"
1-106348506,1-101615255,Blythson Limited - 3 Ashley Avenue,Registered,2010-11-18,3 Ashley Avenue,Folkestone,Kent,South East,CT19 4PX,01303252787,Kent,3.0,Good,2019-05-09,"[{'name': 'Accommodation for persons who require nursing or personal care', 'code': 'RA2', 'contacts': [{'personTitle': 'Mr', 'personGivenName': 'Cristian Zamid', 'personFamilyName': 'Ramirez Bolivar', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Residential homes', 'description': 'Care home service without nursing'}]"
1-10637557314,1-7264235014,Green Porch Medical Centre,Registered,2021-03-30,Green Porch Close,Sittingbourne,,South East,ME10 2HA,01795718099,Kent,0.0,Not rated,,"[{'name': 'Maternity and midwifery services', 'code': 'RA11', 'contacts': [{'personTitle': 'Dr', 'personGivenName': 'Amechi', 'personFamilyName': 'Adigwe', 'personRoles': ['Registered Manager']}]}, {'name': 'Family planning', 'code': 'RA15', 'contacts': [{'personTitle': 'Dr', 'personGivenName': 'Amechi', 'personFamilyName': 'Adigwe', 'personRoles': ['Registered Manager']}]}, {'name': 'Treatment of disease, disorder or injury', 'code': 'RA5', 'contacts': [{'personTitle': 'Dr', 'personGivenName': 'Amechi', 'personFamilyName': 'Adigwe', 'personRoles': ['Registered Manager']}]}, {'name': 'Surgical procedures', 'code': 'RA7', 'contacts': [{'personTitle': 'Dr', 'personGivenName': 'Amechi', 'personFamilyName': 'Adigwe', 'personRoles': ['Registered Manager']}]}, {'name': 'Diagnostic and screening procedures', 'code': 'RA8', 'contacts': [{'personTitle': 'Dr', 'personGivenName': 'Amechi', 'personFamilyName': 'Adigwe', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Doctors/Gps', 'description': 'Doctors consultation service'}]"
1-10644302119,1-153032466,Country Dental,Registered,2021-04-01,17 Mount Street,Hythe,,South East,CT21 5NT,01303266657,Kent,0.0,Not rated,,"[{'name': 'Treatment of disease, disorder or injury', 'code': 'RA5', 'contacts': [{'personTitle': 'Mrs', 'personGivenName': 'Julia Blanche', 'personFamilyName': 'Comber', 'personRoles': ['Registered Manager']}]}, {'name': 'Surgical procedures', 'code': 'RA7', 'contacts': [{'personTitle': 'Mrs', 'personGivenName': 'Julia Blanche', 'personFamilyName': 'Comber', 'personRoles': ['Registered Manager']}]}, {'name': 'Diagnostic and screening procedures', 'code': 'RA8', 'contacts': [{'personTitle': 'Mrs', 'personGivenName': 'Julia Blanche', 'personFamilyName': 'Comber', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Dentist', 'description': 'Dental service'}]"
1-10646799545,1-10482470762,Senacre Lodge Dental Practice,Registered,2021-07-05,1 Bell Meadow,Maidstone,Kent,South East,ME15 9NB,01622756652,Kent,0.0,Inspected but not rated,2019-11-11,"[{'name': 'Treatment of disease, disorder or injury', 'code': 'RA5', 'contacts': [{'personTitle': 'Mrs', 'personGivenName': 'Hazel Michaela', 'personFamilyName': 'Golding', 'personRoles': ['Registered Manager']}]}, {'name': 'Surgical procedures', 'code': 'RA7', 'contacts': [{'personTitle': 'Mrs', 'personGivenName': 'Hazel Michaela', 'personFamilyName': 'Golding', 'personRoles': ['Registered Manager']}]}, {'name': 'Diagnostic and screening procedures', 'code': 'RA8', 'contacts': [{'personTitle': 'Mrs', 'personGivenName': 'Hazel Michaela', 'personFamilyName': 'Golding', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Dentist', 'description': 'Dental service'}]"
1-10649489767,1-10482470762,Milton Regis Dental Clinic,Registered,2021-07-05,95B High Street,Sittingbourne,Kent,South East,ME10 2AR,01795434910,Kent,0.0,Inspected but not rated,2021-11-10,"[{'name': 'Treatment of disease, disorder or injury', 'code': 'RA5', 'contacts': [{'personTitle': 'Mrs', 'personGivenName': 'Hazel Michaela', 'personFamilyName': 'Golding', 'personRoles': ['Registered Manager']}]}, {'name': 'Surgical procedures', 'code': 'RA7', 'contacts': [{'personTitle': 'Mrs', 'personGivenName': 'Hazel Michaela', 'personFamilyName': 'Golding', 'personRoles': ['Registered Manager']}]}, {'name': 'Diagnostic and screening procedures', 'code': 'RA8', 'contacts': [{'personTitle': 'Mrs', 'personGivenName': 'Hazel Michaela', 'personFamilyName': 'Golding', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Dentist', 'description': 'Dental service'}]"
1-10675883005,1-9621815588,Greener Pastures Ltd,Registered,2021-04-09,4 Grieves Road,Gravesend,,South East,DA11 7JG,,Kent,0.0,Not rated,,"[{'name': 'Personal care', 'code': 'RA1', 'contacts': [{'personTitle': 'Mrs', 'personGivenName': 'Adebunmi', 'personFamilyName': 'Adeyeye', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Homecare agencies', 'description': 'Domiciliary care service'}]"
1-107079545,1-101616075,H M T Care - 48 Albany Drive,Registered,2010-12-16,48 Albany Drive,Herne Bay,Kent,South East,CT6 8PX,01227742992,Kent,7.0,Not rated,,"[{'name': 'Accommodation for persons who require nursing or personal care', 'code': 'RA2', 'contacts': [{'personTitle': 'Mrs', 'personGivenName': 'Katie Elizabeth', 'personFamilyName': 'Payne', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Residential homes', 'description': 'Care home service without nursing'}]"
1-107079561,1-101616075,Orchard House,Registered,2010-12-16,Underdown Lane,Herne Bay,Kent,South East,CT6 5UD,01227373586,Kent,15.0,Good,2022-06-02,"[{'name': 'Accommodation for persons who require nursing or personal care', 'code': 'RA2', 'contacts': [{'personTitle': 'Mrs', 'personGivenName': 'Katie Elizabeth', 'personFamilyName': 'Payne', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Residential homes', 'description': 'Care home service without nursing'}]"
1-107107715,1-101625458,Carnalea Residential Home,Registered,2010-12-09,5-9 London Road,Faversham,Kent,South East,ME13 8TA,01795532629,Kent,50.0,Not rated,,"[{'name': 'Accommodation for persons who require nursing or personal care', 'code': 'RA2', 'contacts': [{'personTitle': 'Miss', 'personGivenName': 'Claire', 'personFamilyName': 'Forrest', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Residential homes', 'description': 'Care home service without nursing'}]"
1-10723635414,1-9808589480,Hawkinge House Proactive Assessment Unit,Registered,2021-04-22,1 Hurricane Way,Folkestone,,South East,CT18 7SS,01303895072,Kent,62.0,Good,2022-08-18,"[{'name': 'Accommodation for persons who require nursing or personal care', 'code': 'RA2', 'contacts': [{'personTitle': 'Mrs', 'personGivenName': 'Charlotte Ann', 'personFamilyName': 'Muir', 'personRoles': ['Registered Manager']}]}, {'name': 'Treatment of disease, disorder or injury', 'code': 'RA5', 'contacts': [{'personTitle': 'Mrs', 'personGivenName': 'Charlotte Ann', 'personFamilyName': 'Muir', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Nursing homes', 'description': 'Care home service with nursing'}]"
1-10724452227,1-9833333349,Elizabeths Rose Home Care,Registered,2021-04-22,"Ground Floor, 6 Kings Row",Maidstone,,South East,ME15 6AQ,01622296224,Kent,0.0,Good,2023-03-16,"[{'name': 'Personal care', 'code': 'RA1', 'contacts': [{'personTitle': 'Mrs', 'personGivenName': 'Abigail Louise', 'personFamilyName': 'Butler', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Homecare agencies', 'description': 'Domiciliary care service'}]"
1-107256697,1-101616048,St Heliers Care Home,Registered,2010-12-01,25-26 Clifton Gardens,Folkestone,Kent,South East,CT20 2EF,01303254980,Kent,30.0,Good,2022-07-23,"[{'name': 'Accommodation for persons who require nursing or personal care', 'code': 'RA2', 'contacts': [{'personTitle': 'Mrs', 'personGivenName': 'Gemma', 'personFamilyName': 'Heynes', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Residential homes', 'description': 'Care home service without nursing'}]"
